,index,rating,comment
40175,40175,1.0,"Ich war auf Empfehlung wegen starken Menstruationsproblemen wie Übelkeit, Erbrechen,<br />
Kreislaufproblemen bis Ohnmacht am ersten Tag meiner Tage sehr geplagt.<br />
Dazu kamen starke Stimmungsschwankungen. Mit Akupunktur hatte ich schon woanders  positive<br />
Erfahrung gemacht, allerdings half weder sie noch Medikamente. Vor der chinesischen Kräutermedizin hatte ich allerdings ein bisschen ""Respekt"". Man liest ja viel über Nebenwirkungen/Umweltgiften in aus China importierten Präparaten. Von der Praxis war ich sehr angetan: super zu<br />
errreichen mit öffentlichen Verkehsmitteln am Sendlinger Tor (besser wegen Parkplätzen), die Praxis selbst ist sehr liebevoll eingerichtet und ich kam sofort dran. Frau Dr. Leist<br />
war mir auf Anhieb sympatisch. Eine von den Ärztinnen, die sich viel<br />
Zeit nehmen, gut zuhören und genau die richtige Mischung aus<br />
Warmherzigkeit und Kompetenz ausstrahlen. Hier geht es wriklich um die<br />
Menschen, das spürt man sofort! Sie fühlt erstmal den Puls, schaut<br />
sich die Zunge an und stellt viele Fragen (nicht wundern, auch nach<br />
Stuhl und Urin, nach Temperaturempfinden, das machen fundiert<br />
ausgebildete chinesische Ärzte, sie können daran den<br />
Gesundheitszustand dann sehr individuell einschätzen). Auch meine<br />
etwas ängstlichen Fragen bzgl. Kräutermedizin beantwortete Dr. Leist<br />
geduldig, sie verwende ausschließlich pharmakologisch<br />
zertifizierte Abkochungen aus deutschen Apotheken,<br />
diese seien rückstandskontrolliert.Zur Sicherheit kann man anfangs alle 3 Monate<br />
die Leberwerte konntrollieren lassen. Dann erfolgte immer Akupunktur<br />
mit Ruhen über ca 20 Min. die ich als sehr wenig schmerzhaft und<br />
angenehm erlebt habe. Danach fühlte ich mich immer herrlich entspannt.<br />
Man bekam von den netten helferinnen noch Hinweise zur Einnahme der<br />
Kräuterabkochung, später Tropfen.Das Ergebnis war verblüffend: Innerhalb von ca 2-3 Monaten wurden die Symptome schwächer bis sie unter Anpassung der Abkochung weg blieben; erstmal habe ich für Notfälle immer mein Fläschchen dabei - es hilft sofort!"
176510,176510,1.0,"Ich bin seit 1998 bei Frau Dr. Rieb in Behandlung. Wie die Jahre zeigen bin ich mit ihr sehr zufrieden. Ganz besonders, weil ich richtige Angst vorm Zahnarzt hatte. Sie hat sich richtig Zeit für mich genommen, Hand gehalten und mir versichert so bald etwas weh tut hört sie auf. Ich muss heute noch lachen, wenn sie mir eine Spritze wegen einer kleinen Sache anbietet. Ich hatte Parodontose so schlimm, daß ich einen Schneidezahn fast verloren hätte und das alle 4 Quadranten aufgeschnitten und bis hoch zum Kieferknochen gereinigt werden mussten. Jetzt nach so langer Zeit weiß ich gar nicht mehr was Zahnfleischbluten ist und den Schneidezahn haben wir auch gerettet. Ich habe schon oft überlegt mir einen Zahnarzt in meiner Nähe (Reinickendorf) zu suchen. Also ich fahre gerne eine gute Stunde zu meiner Zahnärztin."
167773,167773,1.0,Man hat als Patient das Gefühl dass Dr Amoz wirklich die Ursache der Symptome herausfinden möchte und fühlt sich dadurch sehr gut und sicher aufgehoben.
24524,24524,1.0,"Frau Heizmann ist eine gefühlvolle und einfühlsame Zahnärztin. Sie strahlt eine große Ruhe aus, die uns Patienten gut tut. Sie hat goldene Hände. Die Praxis ist klein aber fein, kein überflüssiger Schnick-Schnack. Das Team ist stets ein Lichtblick, sehr freundlich und liebenswürdig, also rundum lobenswert und empfehlenswert !!!"
317584,317584,1.0,Ich war bei Dr. Gloning zur Pränataldiagnostik und kann ihn nur empfehlen. Auch sein Team in der Taxisklinik.
112964,112964,1.0,"Dr. Arnold und seine Praxis sind sehr zu empfehlen! Seine fleißigen Helferinnen sind sehr freundlich und entgegenkommend und auch die ""hauseigene"" Hebamme kann ich jedem nahe legen.<br />
Sehr gut erreichbar, egal ob öffentlich oder mit dem Auto - direkt am OEZ. Die Praxis ist auf dem neuesten Stand der Technik und ist trotzdem patientenfreundlich."
247844,247844,1.0,"Sehr nette Bedienung + nette Ärztin aufjedenfall weiterzuempfehlen.<br />
Ebenfalls sehr Herzlich"
64927,64927,1.0,mein prastata krebs wurde sehr schnell entdeckt und das hat mir geholfen bin so gut wie wieder der alte danke nochmals dafür ich kann ihn nur weiterempfehlen
307975,307975,1.0,"Ich bin sehr froh die Klinik ABC-Bogen gefunden zu haben,endlich konnte ich mich ohne Angst behandeln lassen.Durch diverse Vorbehandler war mein Vertrauen Zu Zahnärzten gleich null. In der Klinik wurde mir eine völlig schmerzfreie Behandlung in Vollnarkose angeboten...."
28329,28329,1.0,Trotz etwas längerer Wartezeit bin ich sehr zufrieden. Der Arzt hat sich Zeit für mich genommen und hat mich bis ins letzte Detail aufgeklärt.
316159,316159,1.0,"Ich fühle mich hier sehr gut betreut und der Service ist sehr gut (auch über die Öffnungszeiten hinaus, wenn gerade ein Virus im Umlauf ist oder Bedarft besteht). Vorteilhaft finde ich auch, daß Herr und Frau Dr. Fuchs eigene Kinder haben und sich wahrscheinlich bei schwierigen Fällen austauschen. Ich wollte schon des öfteren wegen der langen Fahrtstrecke (ca. 30 Minuten) wechseln. Aber immer wenn dann eines meiner beiden Kinder krank war, habe ich diesen Gedanken schnell verworfen. Ich kenne im Umkreis von 25km keinen Kinderarzt, der abends bis 22.00 Uhr öffnet bis wirklich alle Kinder mit Fieber untersucht worden sind."
312410,312410,1.0,Ich habe mir bei Dr. Henning sowohl die Nase als auch die Lippen korrigieren lassen und bin sehr zufrieden mit dem natürlichen Ergebnis. Im Vergleich waren die Preise sogar günstiger als bei anderen Ärzten! Ich habe mich von Beginn an sehr wohl gefühlt und habe eine umfangreiche Beratung erhalten. Ich kann Dr. Henning nur empfehlen! Natürlich auch bei Erkältungen! :)
337990,337990,1.0,"Dr.Graf ist sehr freundlich ,fachlich Kompetent, geht auf den Patienten ein."
121452,121452,1.0,Bin sehr zufrieden. Vom kennenlernen bis zur OP nur eine Woche vergangen.
330276,330276,1.0,"erfahrener kompetenter Arzt, Praxisräume nicht super modern, werden aber wohl modernisiert..."
269703,269703,1.0,Ich habe sehr große Rückenschmerzen gehabt aber nach erste oder zweite Behandlung es hat mir sehr geholfen ohne Operation heute fühle ich mich fit
309880,309880,1.0,Sehr freundlicher Arzt der mir kompetent problemorientiert und aufmerksam helfen konnte
16693,16693,1.0,Der beste Zahnarzt für Implantate schade dass er nicht mehr in Basel ist.
411711,411711,1.0,Super Ergebnis durch das ReLEx-Smile Verfahren trotz hoher Dioptrien-Zahl (mittlerweile sind 2 Monate vergangen). Der Eingriff selber war sehr kurz und schmerzlos und ich habe keinerlei Probleme seither. Autofahren und Sport waren schon am nächsten Tag wieder möglich. Das Team war immer freundlich und gut gelaunt. Herr Dr. Schmid war beim Vorgespräch sowie bei der OP selbst sehr ruhig und nahm mir jede Rest-Nervosität. Insgesamt eine sehr angenehme Atmosphäre.
129866,129866,1.0,Wirklich toll also mein vater ist auch damals da gewesen und es wurde festgestellt das mein vater karies hatte und er wurde gut behandelt
48619,48619,1.0,"Hervorragende Behandlung,kompetent und sachlich sehr gut,beste Ausstattung"
155977,155977,1.0,Das gesamte Team eine Freude es wird sich sehr viel Zeit für den Patienten genommen freue mich auf den nächsten Besuch
215589,215589,1.0,"Seit 15 Jahren bin ich bei Dr. Grunewald wegen mehrmalig wiederkehrendem Krebs (NHL) in Behandlung, und in dieser Zeit habe ich keinen nennenswerten Grund für eine Beanstandung gefunden.<br />
Besonders die nicht abgehobene und freundliche Umgangsweise, selbst in Situationen wo er unter Terminstress steht, habe ich bisher bei keinem anderen Arzt in dieser Weise erlebt.<br />
Bei außergewöhnlich schwierigen Diagnosen und Behandlungsmethoden, ist er sich nicht zu schade, selbst Kollegen zu konsultieren. Welcher Arzt hat schon die Größe, dies zu tun und dem Patienten dann das gemeinsam gefestigte Ergebnis mitzuteilen. Dr. Grunewald hat u.a. auch wegen dieser Arbeitsweise, bei mir größtes Vertrauen in seine ärztliche Fachkompetenz erworben, und ich fühle mich bei ihm in guten Händen.<br />
Die 15 Krebsjahre, die ich bisher mit seiner Hilfe überlebt habe, sprechen eindeutig für ihn."
371991,371991,1.0,"Mit akuten Knieschmerzen habe ich mich an die Praxis von Prof. Dr. Hollander gewendet. Ich habe sehr schnell einen Termin bekommen in die Untersuchung von Prof. Hollander war sehr bedacht und gründlich. Man fühlt sich sehr gut aufgehoben und entwickelt schnell ein Vertrauensverhältnis. Nach einer ACP Therapie und einer Induktionstherapie (SIS) sind meine Schmerzen weg und ich kann wieder meinem Sport nachgehen.<br />
Betreuung, auch außerhalb der Sprechstunde, war super. <br />
Dieser Arzt ist sehr zu empfehlen!<br />
<br />
Danke Ihnen!"
173009,173009,1.0,"Vorab : Die Damen an der Anmeldung & die Arzthelferinnen sind super freundlich und hilfsbereit. Die neue Praxis ist sehr modern und die Wartezeiten immer kurz. <br />
Bei Frau Dr. Fuss fühlt man sich ebenfalls bestens aufgehoben. Sie ist sehr einfühlsam und nimmt sich Zeit für Ihre Patienten. Jede Angst wird einem genommen. Ich bin seit Jahren Ihre Patientin und auf meine Empfehlung sind schon viele Freunde zu Ihr gewechselt und ebenfalls zufrieden :-)"
58845,58845,1.0,"Dr.Zielasko hat mir zwei Zahnimplantate gesetzt, mit denen ich sehr zufrieden bin. Ein Freund hat mir Dr. Zielasko als Anlaufstelle empfohlen und ich hatte eigentlich direkt ein gutes Gefühl bei ihm. Er hat mir den Behandlungsablauf im Vorfeld sehr gut erklärt und sich für all meine Fragen Zeit genommen. Die Bedenken und Sorgen die ich vor der Behandlung hatte konnte ich durch ihn abschütteln. Ich bin mir sicher, dass hätte n nicht viele Ärzte geschafft. Kompliment!"
79463,79463,1.0,"Ich hatte meine Probleme einen neuen Zahnarzt zu finden nachdem mein alter Zahnarzt in Rente ging. Jetzt habe ich endlich wieder einen Zahnarzt gefunden dem ich voll und ganz vertrauen kann, dem es nicht ums Geld machen oder um extrem schnelle Abfertigung geht. Er nimmt sich Zeit alles zu erklären, ist auch wenn es mal in der Praxis etwas stressiger wird immer freundlich und nicht kurz angebunden. Die Zahnarzthelferinnen sind auch alle immer freundlich und während der Stuhlassistens sehr umsichitig (man bekommt z. B. keinen Sauger in den Mund gerammt).<br />
Ein sehr guter Zahnarzt, der mir hoffentlich bis an mein Lebensende erhalten bleibt!"
16358,16358,1.0,"ich habe Dr.Irlbacher als freundlichen und kopetenten Arzt erlebt. Vor und nach meiner Operation hat sich Dr. Irlbacher viel Zeit genomnmen, alles in Ruhe und ausführlich mit mir zu besprechen. Als sehr angenehm war für mich , dass meine Operation ambulant durchgeführt wurde. Seit meiner Operation bin ich endlich wieder beschwerdefrei. Vielen Dank für die sehr gute und freundliche Behandlung. Auch ein Lob an das  Praxispersonal. Alle waren sehr nett und freundlich."
49961,49961,1.0,"Sollte jemand einen neuen dynamischen und kompetenten Zahnarzt im Kölner Süden suchen, so kann ich Herrn Rademacher zu 100% empfehlen. Ich hatte 18 Jahre einen sehr guten Zahnarzt rechtsrheinisch, aber jedesmal 22 km fahren, war irgendwann einfach zuviel.<br />
Jetzt habe ich seit einigen Jahren einen sehr guten Zahnarzt gefunden. Ebenso das Team ist sehr nett und hilfsbereit.<br />
Meinen Respekt für die Arbeit und Menschlichkeit !<br />
Macht weiter so !!!"
161434,161434,1.0,"In der Praxis von Dr. Wenzl fühlt man sich sehr gut aufgehoben. Terminvergabe online kurzfristig und unkompliziert möglich. Der Arzt nimmt sich sehr viel Zeit und ist sehr einfühlsam.<br />
Auch der Empfang durch seine Assistentin war sehr freundlich und zuvorkommend.<br />
Diese Praxis ist sehr zu empfehlen."
275203,275203,1.0,"Ich war nun schon oft bei Dr. Balthesen und jedesmal zufrieden. Er nimmt sich sehr viel Zeit und geht auf alle Anliegen ein. Die Wartezeiten können schonmal etwas länger sein, aber dafür wird man eben nicht in 2 Minuten abgefertigt. Dr. Balthesen ist stets freundlich, man fühlt sich mit seinen Problemen ernst genommen und gut beraten. Ich kann ihn nur jedem weiterempfehlen!"
293980,293980,1.0,"Sehr sehr nett und kompetent Arzt.  Sie weiß ganz genau worüber Sie sprechen. Einfach die beste dass Ich soweit gesehen habe. Danke schön Doctor. <br />
<br />
<br />
<br />
Obumba"
7864,7864,1.0,"Also ich kann keine negative Aussage treffen! Kompetente Ärztin,nettes Team, wenig Wartezeit, angenehme Behandlung - kurz gesagt alles bestens!"
228080,228080,1.0,"Sehr freundlich, aber bestimmt. Ist in der Lage, bei Unklarheiten an Experten abzugeben."
196270,196270,1.0,"Bei Dr. Linke fühle ich mich sehr gut betreut. Die kardiologische Kontrolle und die des Herzschrittmachers laufen flott nacheinander ab. Die Resultate werden direkt erläutert<br />
und den Ausdruck der aktuellen Herzschrittmacherdaten bekommt man gleich mit."
75133,75133,1.0,"Schön, dass es sie gibt."
133812,133812,1.0,"Dr. Müller ist in meinen Augen ""der beste Zahnarzt der Welt"" und ich kann ihn nur Jedem ans Herz legen! <br />
Kompetent, freundlich, genau, einfühlsam, nimmt sich viel Zeit für seine Patienten."
405420,405420,1.0,"super praxis, freundliches personal alles in allem, super"
432591,432591,1.0,"Wegen einer Hörgeräteanpassung musste ich kurzfristig meine Ohren gereinigt bekommen. Das Praxisteam war sehr freundlich und hat mich -ohne Wartezeit auf einen Termin- zum Arzt weitergeleitet. Dr. Koeppe ist freundlich und strahlt eine Fröhlichkeit aus, die einem die unangenehmen Untersuchungen erträglich machen."
206462,206462,1.0,Super nett sehr freundlich und systematisch. Hört sich Patientengespräche an. Ich empfehle Ihn 1000 Prozent  weiter.
83167,83167,1.0,"Dr.Marschner ist ein ausgezeichneter Diagnostiker, der sich Zeit für seine Patienten nimmt. Er hört zu und findet dadurch die Ursachen der gesundheitlichen Beschwerden. Das kann ich als Betroffener besonders hervorheben. Meine Beschwerden wurden von einer Anzahl Fachärzten nicht erkannt und versucht mich zu unnötigen teuren radiologischen Untersuchungen, die bereits mehrfach erfolglos durchgeführt ,wurden zu bewegen. Dr. Marschner hat als einziger die Ursache meiner Beschwerden gefunden und die notwendig Therapie  eingeleitet. Dafür bin ich ihm sehr dankbar! Sowohl ich und meine Familie fühlen  uns bei ihm sehr gut aufgehoben!<br />
<br />
Als langjähriger Patient kann ich Dr. Marschner allen, die einen erfahrenen Mediziner suchen, empfehlen."
387071,387071,1.0,"Infolge plötzlicher Hör-Probleme nahm ich Kontakt zur HNO-Praxis von Dr. Kunz auf.<br />
Ich erhielt eine schnelle, fachlich fundierte und freundliche Behandlung.<br />
Währenddessen trat mir nicht nur Herr Dr. Kunz, sondern auch das gesamte Praxis-Team fachlich fundiert, geduldig und sehr wertschätzend/respektvoll bezüglich meiner vielen Fragen und Sorgen gegenüber. Ich wurde über alle Behandlungsschritte informiert und fühlte mich über den gesamten Behandlungszeitraum (mehrere aufeinanderfolgende Termine) rundum bestens beraten.<br />
Insgesamt eine absolute Empfehlung, verbunden mit meinem herzlichen Dank an das gesamte Praxis-Team."
269124,269124,1.0,Ich habe meine Weißheitszähne bei Herr Dr. Detsch entfernen lassen. Die Behandlung war wirklich top. Ich hab mich sehr gut aufgehoben gefühlt und das war sehr wichtig für mich da ich eine Angstpatientin bin.  Das Team war überaus freundlich und hat sich sehr gut um mich gekümmert. Sie haben mir meine Angst genommen und waren sehr zuvorkommend. Ich werde Sie weiterempfehlen!
236084,236084,1.0,"Über mehrere Jahre litt ich an Migräneanfällen, die zum Teil bis zu zwei Tagen andauerten.<br />
Mit Fr. Seddighi fand ich eine Ärztin, die sich viel Zeit nahm (was ich großartig finde), mir zuhörte und mich mit der Symptomatik ernst nahm.<br />
Fr. Seddighi behandelte mich homöopathisch - erfolgreich - ich bin seit einem guten Jahr symptomfrei, d.h. keine Migräneanfälle mehr!!!!"
44277,44277,1.0,War das erste mal zu U 3 da bin sehr zufrieden. er nimmt sich zeit und beantwortet in ruHe alle fragen
148044,148044,1.0,"Während unseres Urlaubes in Deutschland mussten wir eine dringende Impfung und Untersuchung durchführen lassen. Uns wurde Dr. Eiselt von Freunden empfohlen. Wir bekamen zügig einen Termin und hatten eine relativ kurze Wartezeit. Dr. Eiselt war sehr Einfühlsam mit unserer Tochter und erklärte uns ""auf den Punkt gebracht"" die Untersuchung mit Resultat. Fragen beantwortete er zügig, aber umfangreich und ging auf Nachfragen geduldig ein. Wir würden jederzeit wieder kommen und ihn empfehlen."
387767,387767,1.0,"sollte aber akut eine Verschlechterung meines Sehvermögens auftreten so kann ich mich jederzeit in der Praxis vorstellen. Ich war schon 2006 in der Uniklinik bei Dr. Müller-Holz.<br />
Auch In der neuen Praxis ist alles super. Bushaltstelle direkt vor der Tür."
426584,426584,1.0,"Gute verständliche Untersuchung und Beratung, mit viel und ausreichende Zeit."
201998,201998,1.0,"Sowohl ich als auch meine Frau und die Kinder sind Patienten bei Dr. Nemecek. Wir sind sehr zufrieden. Ich hatte einige Überkronungen, die absolut perfekt aussehen und preislich völlig im Rahmen liegen (im Vergleich zu anderen Zahnärzten). Meine Frau ist immer wieder zum Reparieren fehlerhafter Zahnbehandlungen (auch Überkronungen) eines anderen Zahnarztes bei Dr. Nemecek und auch zur Kariesbehandlung. Schmerzlos und akribisch! <br />
Dazu noch eine Top-Assistenz! Wir sind froh, dass wir Dr. Nemecek gefunden haben und empfehlen ihn auch überall weiter!"
318200,318200,1.0,"Frau Anne Gruppe ist meine Hausärztin. Sie gibt einem das Gefühl aufgehoben zu sein und nimmt mich als Patienten ernst. Sie nimmt sich die nötige Zeit um alle Beschwerden zu analysieren, Symptome zu untersuchen und berät kompetent. Sie engagiert sich auch für weitere Untersuchungen falls nötig und ergreift auch mal die Initiative zur Einleitung von nötigen Gesundheitsmaßhnamen. Ich bin gesetzlich versichtert. Frau Gruppe ist eine fabelhafte Ärztin."
292078,292078,1.0,"sehr sehr nette und kompetente Ärztin in einer wirklich schön gestalteten Praxis! Wartezeiten sind keine 5 Minuten!<br />
Frau Dr. Kigitsidou nimmt sich sehr viel Zeit und berät umfassend. Mir wurde am Oberarm ein Muttermal entfernt, wovon nach ca. 3 Wochen so gut wie keine Narbe mehr sichtbar ist. Vielen herzlichen Dank!"
131172,131172,1.0,"Ein sehr freundlicher Arzt mit einer sehr ruhigen und angenehmen Art. Er hat sich bei der Untersuchung<br />
sehr viel Zeit genommen, genau und ausführlich erklärt, was er tut und warum. Ich fühle mich dadurch sehr gut aufgeklärt und aufgehoben. Meine Freundin, die von ihm operiert wurde, hat mich auf Dr. Ordu<br />
aufmerksam gemacht.<br />
Ich bin sehr zufrieden!!!!"
182279,182279,1.0,Ich war seit der Geburt mit beiden Kindern bei Frau Dr. Kapaun und wurde stets kompetent und sehr menschlich betreut. Die Sprechstundenhilfen sind sehr freundlich und hilfsbereit. Frau Dr. Kapaun hat sich immer viel Zeit genommen. Die Kinder waren beide sehr gerne bei ihr. Kann ich vom ganzen Herzen empfehlen.
396731,396731,1.0,"Ich habe von Dr. Dudek eine plastische Nasenkorrektur durchführen lassen. <br />
Er ist super nett, sehr professionell, nimmt sich Zeit und beantwortet jede Frage! Er geht auf Wünsche ein und setzt diese auch um. Mit dem Ergebnis meiner neuen Nase bin ich mehr als zufrieden! Er hat meine Erwartungen nicht nur erfüllt, sondern übertroffen! <br />
Ich kann Dr. Dudek mit sehr gutem  Gewissen weiterempfehlen und würde jeder Zeit wieder zu ihm gehen! Vielen Dank für ihre tolle Arbeit!!!!!!"
424201,424201,1.0,nett und freundlich obwohl ich in koblenz wohne komme ich nach mayen
41513,41513,1.0,"Bin schon seit vielen Jahren Patientin in dieser Praxis.<br />
Nicht nur die Kompetenz und Freundlichkeit von Dr. Mawad runden das Gesamtbild eines guten Arztes ab, <br />
sondern auch das gut eingespielte, nette Praxisteam.<br />
Beste Untersuchungs-Geräte stehen zu Verfügung und werden fast immer eingesetzt, um eine gesicherte Diagnose zu stellen. Die Praxis ist sehr sauber, modern, und verfügt über einen hohen Standard. Ich kann Dr. Mawad sehr empfehlen, er hat mich immer bestens behandelt. Ich bin übrigens gesetzlich versichert!"
37481,37481,1.0,"Die Diagnoseerstellung zur Behandlung des ""grauen Star"" verlief sehr professionell.<br />
Gutes, informatives Gespräch Arzt / Patient.<br />
Vertrauensbasis wurde erreicht."
78741,78741,1.0,Ein super Zahnarzt bin jedesmal zufrieden und kann ihn Empfehlen
332366,332366,1.0,Sehr kompetente Ärztin wo man heute wirklich suchen muss.
401013,401013,1.0,"Dr. Schüler hat sich Zeit genommen für eine gründliche Untersuchung und zuerst eine alternative Methode vorgeschlagen (Einlagen). Als nach ca. 6 Monaten keine Besserung eintrat, habe ich mich für eine Operation entschlossen. Die Voruntersuchungen sowie die Aufklärung kann ich nur als sehr gut bewerten (es wurde auch ein MRT gemacht und alle evtl. anfallenden Komplikationen vorab einschätzen zu können). Die Operation (ambulant) selbst ist sehr gut verlaufen und ich habe mich gleich anschließend überraschend gut gefühlt und ich hatte auch so gut wie keine Schmerzen. Nach jetzt 1 Woche kann ich bereits wieder sehr gut laufen."
148753,148753,1.0,"Besonders positiv bewerte ich den Umgang der Fr. Dr. mit ihren Patienten. Sie nimmt sich ausreichend Zeit, hört aufmerksam zu und zeigt ehrliches Interesse gegenüber den Belangen ihrer Patienten. Ich fühlte mich auf Anhieb wohl und willkommen in der Praxis. Die Arzthelferinnen sind ebenfalls engagiert und überzeugen mit ihrem freundlichen Wesen. Mit Wartezeit muss man jedoch rechnen, allerdings bin ich persönlich bereit die Zeit aufzubringen, da ich sehr zufrieden mit der Behandlung bin."
75270,75270,1.0,"Ich bin im Laufe der Jahre schon bei einigen Frauenärzten/ärztinnen gewesen und war leider nie hundert Prozent zufrieden. Durch eine Kollegin wurde mir nun Frau Dr. Heinrigs empfohlen - das war das Beste, was mir passieren konnte. Man betritt die Praxis und fühlt sich auf Anhieb wohl. Die Wartezeit liegt unter dem, was ich sonst gewöhnt bin. Frau Dr. Heinrigs ist sehr sympathisch, nimmt sich ausreichend Zeit, zeigt Verständnis, untersucht behutsam, berät und diagnostiziert sehr kompetent und geduldig.<br />
Ich fühle mich rundherum sehr gut aufgehoben und kann Frau Dr. Heinrigs nur weiter empfehlen."
284647,284647,1.0,"Frau Gärber ist eine sehr einfühlsame Zahnärztin. Sie nimmt sich Zeit für Erklärungen, möchte einem auch keine Unnötigen Behandlungen aufdrücken. Ich fühle mich bei ihr immer gut beraten und in keinster Weise abgezockt. Sie arbeitet mit Kostenvoranschlägen.<br />
 Auch das Praxispersonal ist stets freundlich und zuvorkommend, wobei ich die Dame am Empfang sehr zu schätzen weiß. Sie hat immer ein offenes Ohr, stets freundlich und findet auch schnell mal einen Akuttermin. Die beiden Damen in der Assistenz sind stets bemüht die Behandlung so angenehm wie möglich zu gestalten.<br />
Auch während der Behandlung ist Frau Gärber sein einfühlsam. Während meiner Behandlung hatte ich keinerlei Schmerzen.<br />
Durch Akutfälle kann es durchaus mal vorkommen, dass man 10 Minuten warten muss, dies ist es mir aber wert. Des Weiteren befindet sich vor der Praxis ein großer Parkplatz. Auch mit den Öffis ist die Praxis super zu erreichen. :)<br />
Ich kann diese Praxis nur herzlichst weiterempfehlen. Solch einen Zahnarzt findet man kaum noch. Es wird sich hier Zeit genommen für die Patienten. Weiter so!"
402759,402759,1.0,"Wenn man sich nach der Diagnose Prostatakrebs für eine OP entscheidet, beginnt alles mit dem Vertrauen in das Operationsteam. Vertrauen ist ein Vorschuss und jeder hofft, dass er nicht enttäuscht wird. Bei mir wurde zu allem Überdruss bei dem Aufnahmeprozedere ein großes Divertikel an der Blase entdeckt. Jetzt musste eine Entscheidung gefällt werden. Da war es Prof. Dr. Magheli der mutig entschied, dass machen wir alles in einer OP und er wird trotzdem versuchen das auch minimalinvasiv zu schaffen. Als ich nach der OP aufwachte und feststellen konnte ich habe nur 5 Löcher in der Bauchdecke, wurde mir bewusst, er hat das Wunder geschafft. Schon eine Woche nach Entfernung des Katheters, bin ich ohne Vorlage in der Hose herumgelaufen. Für mich das nächste Wunder. Ich danke Ihnen Prof. Dr. Magheli und Ihrem Team. Das Vertrauen in Sie war absolut gerechtfertigt. Mein Dank geht auch an die junge Assistenzärztin Frau Dr. Neubert. Sie war es, die bei der Aufnahmeuntersuchung das Divertikel entdeckt hat, was bei fünfjähriger intensiver Überwachung meines Prostatakarzinomes niemand gesehen hat.<br />
Ich bin sehr zufrieden, dass ich mich für das richtige Team und den richtigen Chefarzt Prof. Dr. Magheli für meine Prostata-OP entschieden habe."
139087,139087,1.0,Ich fühle mich sehr bei dieser Ärztin wohl. Sie verschafft mir kein Angstgefühl und löst Probleme sehr schnell und gut.
245143,245143,1.0,"Musste ohne Termin 2h warten, danach bekam ich eine sehr kompetente Behandlung mit ausführlicher Erklärung und Zeit für fragen.<br />
Hab mich sehr gut aufgehoben gefühlt!"
274476,274476,1.0,"Ich kenne Frau Leuchtl bereits aus einer Praxis nebenan und bin ihr in die neue Gemeinschaftspraxis gefolgt. Bei ihr ist man keine Nummer, sondern man kennt sich. Das schafft Vertrauen. Sehr kompetente Ärztin, die in alle Richtungen denkt. Super nett, nimmt sich Zeit und ist sehr engagiert."
